TUCASEID,TUACTIVITY_N,WUFNACTWT,WUHAPORD,WUHAPPY,WUINTERACT,WUMEANING,WUPAIN,WUPNORD,WUSAD,WUSADORD,WUSTRESS,WUSTRORD,WUTIRED,WUTRDORD
20210401210561,7,4214369.449581,4,6,1,6,0,3,0,2,0,5,5,1
20210401210843,4,3836652.208233,4,0,1,6,0,3,0,1,0,2,0,5
20210401210843,6,1918326.104117,4,0,1,0,0,3,0,1,0,2,0,5
20210401210843,7,639442.034706,4,0,2,6,0,3,0,1,0,2,0,5
20210401211766,8,5350931.991422,1,5,1,6,0,5,0,3,2,4,5,2
20210401211766,10,3439884.851629,1,5,1,6,0,5,0,3,1,4,2,2
20210401211766,15,1528837.711835,1,5,2,6,0,5,0,3,0,4,0,2
20210401212050,10,3327552.654627,1,5,1,6,0,5,0,2,0,4,0,3
20210401212050,12,3327552.654627,1,4,1,4,0,5,0,2,0,4,0,3
20210401212050,15,6655105.309254,1,4,2,1,0,5,0,2,0,4,4,3
20210401212265,2,5564649.281841,1,4,2,3,0,4,0,3,0,2,3,5
20210401212265,4,116857634.918670,1,4,2,4,0,4,0,3,2,2,0,5
20210401212265,7,11129298.563683,1,5,1,3,0,4,0,3,0,2,2,5
20210402210002,3,1700894.750293,3,5,2,3,1,5,0,1,0,2,5,4
20210402210002,4,15308052.752639,3,5,2,0,0,5,0,1,0,2,0,4
20210402210002,5,1700894.750293,3,1,2,1,1,5,0,1,0,2,1,4
20210402210130,3,3243435.449037,1,5,1,5,0,2,0,4,0,5,0,3
20210402210130,4,3243435.449037,1,5,1,4,0,2,0,4,0,5,0,3
20210402210130,6,9730306.347110,1,5,1,5,0,2,0,4,0,5,2,3
20210402210150,10,62400591.469738,3,4,1,4,0,5,0,2,0,4,0,1
20210402210150,13,3900036.966859,3,3,1,4,0,5,0,2,3,4,3,1
20210402210150,15,27300258.768010,3,3,1,2,0,5,3,2,3,4,5,1
20210402210155,5,7872213.010915,5,6,1,3,0,4,0,3,0,1,3,2
20210402210155,7,7872213.010915,5,6,1,3,0,4,0,3,0,1,3,2
20210402210155,8,23616639.032744,5,6,1,3,0,4,0,3,0,1,3,2
20210402210166,2,15821187.668078,1,6,1,0,0,3,0,2,0,5,2,4
20210402210166,4,44826698.392888,1,6,1,0,0,3,0,2,0,5,2,4
20210402210166,8,47463563.004234,1,6,1,0,0,3,0,2,0,5,4,4
20210402210187,2,16426012.119865,1,4,2,0,1,3,0,5,0,2,5,4
20210402210187,3,20532515.149831,1,4,2,1,1,3,0,5,0,2,2,4
20210402210187,6,4106503.029966,1,3,2,0,1,3,1,5,1,2,5,4
20210402210192,3,5864539.923395,2,0,2,0,1,1,5,3,3,5,3,4
20210402210192,4,3909693.282263,2,0,2,0,1,1,5,3,3,5,3,4
20210402210192,10,1954846.641132,2,0,2,0,1,1,4,3,3,5,3,4
20210402210224,4,22791391.488458,3,4,2,3,0,2,0,4,2,5,0,1
20210402210224,6,11395695.744229,3,3,2,3,0,2,0,4,2,5,2,1
20210402210224,8,102561261.698063,3,5,2,3,0,2,0,4,0,5,5,1
20210402210265,6,8708453.400474,4,6,1,6,0,1,0,2,0,3,0,5
